id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,player_name,to_team,from_team
899610,2026-04-15,2026-04-15,2026-04-15,NUM,Number Change,LF Masataka Yoshida changed number to 42.,Masataka Yoshida,Boston Red Sox,NA
899611,2026-04-15,2026-04-15,2026-04-15,NUM,Number Change,SS Isiah Kiner-Falefa changed number to 42.,Isiah Kiner-Falefa,Boston Red Sox,NA
899612,2026-04-15,2026-04-15,2026-04-15,NUM,Number Change,RF Wilyer Abreu changed number to 42.,Wilyer Abreu,Boston Red Sox,NA
899613,2026-04-15,2026-04-15,2026-04-15,NUM,Number Change,RHP Zack Kelly changed number to 42.,Zack Kelly,Boston Red Sox,NA
899614,2026-04-15,2026-04-15,2026-04-15,NUM,Number Change,3B Marcelo Mayer changed number to 42.,Marcelo Mayer,Boston Red Sox,NA
899615,2026-04-15,2026-04-15,2026-04-15,NUM,Number Change,LF Jarren Duran changed number to 42.,Jarren Duran,Boston Red Sox,NA
900526,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LHP Ranger Suarez changed number to 55.,Ranger Suarez,Boston Red Sox,NA
900527,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,C Carlos Narváez changed number to 75.,Carlos Narváez,Boston Red Sox,NA
900528,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,CF Ceddanne Rafaela changed number to 3.,Ceddanne Rafaela,Boston Red Sox,NA
900529,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LHP Jovani Morán changed number to 47.,Jovani Morán,Boston Red Sox,NA
900530,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,SS Andruw Monasterio changed number to 32.,Andruw Monasterio,Boston Red Sox,NA
900531,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,SS Isiah Kiner-Falefa changed number to 2.,Isiah Kiner-Falefa,Boston Red Sox,NA
900532,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Zack Kelly changed number to 76.,Zack Kelly,Boston Red Sox,NA
900533,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,3B Marcelo Mayer changed number to 11.,Marcelo Mayer,Boston Red Sox,NA
900534,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LHP Connelly Early changed number to 71.,Connelly Early,Boston Red Sox,NA
900535,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,3B Caleb Durbin changed number to 5.,Caleb Durbin,Boston Red Sox,NA
900525,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Greg Weissert changed number to 57.,Greg Weissert,Boston Red Sox,NA
900524,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,SS Trevor Story changed number to 10.,Trevor Story,Boston Red Sox,NA
900523,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Ryan Watson changed number to 56.,Ryan Watson,Boston Red Sox,NA
900522,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Garrett Whitlock changed number to 22.,Garrett Whitlock,Boston Red Sox,NA
900541,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,1B Willson Contreras changed number to 40.,Willson Contreras,Boston Red Sox,NA
900520,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,C Connor Wong changed number to 12.,Connor Wong,Boston Red Sox,NA
900521,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LF Masataka Yoshida changed number to 7.,Masataka Yoshida,Boston Red Sox,NA
900536,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Sonny Gray changed number to 54.,Sonny Gray,Boston Red Sox,NA
900537,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LF Jarren Duran changed number to 16.,Jarren Duran,Boston Red Sox,NA
900538,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LHP Garrett Crochet changed number to 35.,Garrett Crochet,Boston Red Sox,NA
900540,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LHP Danny Coulombe changed number to 67.,Danny Coulombe,Boston Red Sox,NA
900542,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,LHP Aroldis Chapman changed number to 44.,Aroldis Chapman,Boston Red Sox,NA
900543,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Brayan Bello changed number to 66.,Brayan Bello,Boston Red Sox,NA
900544,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RF Roman Anthony changed number to 19.,Roman Anthony,Boston Red Sox,NA
900545,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RF Wilyer Abreu changed number to 52.,Wilyer Abreu,Boston Red Sox,NA
900546,2026-04-16,2026-04-16,2026-04-16,NUM,Number Change,RHP Jack Anderson changed number to 77.,Jack Anderson,Boston Red Sox,NA
901827,2026-04-18,2026-04-18,2026-04-18,SFA,Signed as Free Agent,Boston Red Sox signed free agent RHP Pedro Meza to a minor league contract.,Pedro Meza,Boston Red Sox,NA
901820,2026-04-18,2026-04-18,2026-04-18,SFA,Signed as Free Agent,Boston Red Sox signed free agent LHP Rinangel Mayora to a minor league contract.,Rinangel Mayora,Boston Red Sox,NA
901993,2026-04-21,2026-04-21,2026-04-21,SC,Status Change,Boston Red Sox placed RHP Sonny Gray on the 15-day injured list. Right hamstring strain.,Sonny Gray,Boston Red Sox,NA
